            Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
"4741.0 Education Statistics for Aboriginal and Torres Strait Islander Peoples, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) Thu 11 July 2024 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.1 Educational intentions, Aboriginal and/or Torres Strait Islander persons not currently studying, State/Territory by Age groups, NATSISS 2008 and 2014-15",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008 NATSISS,,,,,,,2014-15 NATSISS,,,,,,,2008 NATSISS,,,,,,,2014-15 NATSISS,,,,,
,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total,,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total,,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total,,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total
,ESTIMATE (000s),,,,,,,,,,,,,,RELATIVE STANDARD ERROR OF ESTIMATE (%),,,,,,,,,,,,
Wanted to study for an educational qualification,#26.2,32.7,35.1,11.2,10.8,25.1,,37.6,33.7,35.4,23.7,12.6,28.6,,11.4,7.4,8.1,5.9,6.4,4.3,,13.5,9.2,9.7,9,6.4,4.3
Did not want to study for an educational qualification,#73.8,67.3,64.9,88.8,89.2,74.9,,62.4,66.3,66.2,77.6,86.3,71.2,,11.4,7.4,8.1,5.9,6.4,4.3,,10.2,10,10.1,10.2,5.9,4.7
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,#44.6,44.3,35.1,#24.4,10.7,33.2,,67.1,57.9,49.5,42.3,9.7,45.6,,12.4,9.1,9.1,10.1,6.2,5.2,,12.2,8.4,10.6,16.7,5.6,4.6
Does not intent to study in the future,#35.1,38.7,#49.4,64,84.2,52.5,,20.1,23.8,31.8,41,81.7,38.5,,10.1,8.1,10.8,9.8,8.2,5.1,,10.7,8.1,11,11.3,7,4.5
Total(a) ,100,100,100,100,100,100,,100,100,100,100,100,100,,0,0,0,0,0,0,,0,0,0,0,0,0
South Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,#42.5,43.5,38.4,23.8,6.5,32.6,,40,26.5,29.7,18.7,8.6,22.2,,17.3,9.6,9.6,9.5,5.5,5,,22,8.9,11.5,9.3,5.8,4.9
Did not want to study for an educational qualification,#57.5,56.5,61.6,76.2,93.5,67.4,,72,69.4,73,81.2,94.3,78.3,,17.3,9.6,9.6,9.5,5.5,5,,21.7,9.8,10.4,8.8,5.5,4.3
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,#63.5,61.1,#48.8,#36.2,5,45,,48,59.2,43.2,21.9,11.4,37.8,,14.1,9.2,11.6,11.6,4.4,5.3,,21.9,10.1,11.1,8.5,7.4,4.9
Does not intent to study in the future,#21.6,24.2,#37.6,#55.8,88.4,43,,28,22.4,37.8,59.4,80,42.8,,11.9,9.6,11.5,11.6,7,5.1,,19.4,9.3,13.6,13.6,10.3,5.6
Total(a) ,100,100,100,100,100,100,,100,100,100,100,100,100,,0,0,0,0,0,0,,0,0,0,0,0,0
Western Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,27.4,33.5,27.3,20.8,4.1,24.1,,31.5,32.5,23,20.8,3.7,22.6,,8.9,9.1,6,9.1,4.1,3.9,,12.3,8.6,8.3,10.7,np,4.3
Did not want to study for an educational qualification,72.6,66.5,72.7,79.2,95.9,75.9,,68.5,68.3,79.3,80.5,92.7,77.4,,8.9,9.1,6,9.1,4.1,3.9,,10.9,9,7.6,9.6,3.8,3.9
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,#51.6,55.1,46.3,#26.7,10.2,40.3,,72.6,59.2,51.7,24.7,6.1,44.5,,11,8,8.3,10.1,6.1,4.5,,12.9,8,16.3,10.7,3.9,5.1
Does not intent to study in the future,#33.6,33.3,36.5,#59.2,85.1,46.9,,15.1,24.2,33.3,58.4,89,43.1,,10.3,7.5,8.3,10.8,7.1,3.6,,12.2,9.1,12.3,11.9,4.9,4.6
Total(a) ,100,100,100,100,100,100,,100,100,100,100,100,100,,0,0,0,0,0,0,,0,0,0,0,0,0
Tasmania,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,#25.6,#23.2,17.8,12.8,6.2,17.1,,35,30,28.6,16.7,14.3,25.2,,15.9,11,7.3,8.2,5.1,4.4,,15.5,11.1,10.4,9.1,7.3,4.9
Did not want to study for an educational qualification,#74.4,#76.8,82.2,87.2,93.8,82.9,,65,66.7,76.2,79.2,89.3,74.8,,15.9,11,7.3,8.2,5.1,4.4,,14.7,10.3,10.8,7.1,7.2,4
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,#61.5,#56.0,#37.5,#36.3,6.6,39.6,,65,60,47.6,29.2,10.7,40.7,,18,14.4,12.6,12.8,4.7,7,,17.3,9.4,12.8,11.4,6.2,5.9
Does not intent to study in the future,13.7,19.3,#42.2,#48.0,85.9,41.6,,25,23.3,33.3,50,82.1,41.5,,8.6,8.5,11.4,13.2,7.9,5.1,,21.9,9.1,10.4,10.4,7.9,5
Total(a) ,100,100,100,100,100,100,,100,100,100,100,100,100,,0,0,0,0,0,0,,0,0,0,0,0,0
Northern Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,23.6,24.6,25.4,20.3,4.4,21,,23.2,19.2,18.3,9.4,6.2,16.3,,8.6,5.9,6.1,7.7,3.4,2.9,,13.4,6.4,5.4,6,4.9,3.7
Did not want to study for an educational qualification,76.4,75.4,74.6,79.7,95.6,79,,75,79.8,80.5,89.1,90.6,84,,8.6,5.9,6.1,7.7,3.4,2.9,,13.4,7.5,5.8,5.6,6,3.6
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,#42.5,47.1,37.9,29,9.4,35.8,,62.5,49,39,18.7,10.9,37.1,,11.2,8.9,8,7.7,4.9,4.5,,12.9,13,8.3,9.3,6.1,6
Does not intent to study in the future,#42.5,36.1,50.9,64.9,86,52.6,,23.2,32.7,42.7,65.6,84.4,48,,11.5,8.7,9.4,8.4,5.5,4.6,,8.7,8.8,9,9.8,8.4,3.6
Total(a) ,100,100,100,100,100,100,,100,100,100,100,100,100,,0,0,0,0,0,0,,0,0,0,0,0,0
Australian Capital Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,#54.7,#46.1,#36.5,#31.4,#11.1,37.8,,40,37.5,60,20,25,37,,22.5,22.1,17.1,24.1,11.5,9.4,,28.8,15.8,27.8,10.5,np,9.4
Did not want to study for an educational qualification,#45.3,#53.9,#63.5,#68.6,#88.9,62.2,,60,62.5,40,80,100,63,,22.5,22.1,17.1,24.1,11.5,9.4,,26,17.3,17.1,12.2,22.9,6.3
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,#78.8,#81.4,#48.9,#49.7,#12.7,57.9,,40,75,80,40,25,59.3,,18.3,16.4,14.5,20.7,12.2,8,,27.8,15.4,20.9,26.8,20.6,8.9
Does not intent to study in the future,#21.2,7.1,#30.9,#38.7,#84.0,31.6,,0,25,20,40,75,29.6,,18.3,9.1,12.3,20.1,14.4,6.7,,0,14.7,np,20.1,16.9,6.5
Total(a) ,100,100,100,100,100,100,,100,100,100,100,100,100,,0,0,0,0,0,0,,0,0,0,0,0,0
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
